Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Gingelom;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Gistel;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,2;7,2;7,2;7,2;7,2;7,2;7
Glabbeek;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7,8
Gooik (t/m 2024);7;7;7;7;7;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;;
Grimbergen;6,5;6,5;6,5;6,5;6,5;6,5;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;7,4
Grobbendonk;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Haacht;7,1;7,1;7,1;7,1;7,1;7,1;7,1;7,1;7,1;7,1;7,1;7,1;7,1;6,7;6,7;6,7;6,7;6,7;6,7
Haaltert;6;6;6;6;6;6;6;7,5;7,5;7,5;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2
Halen;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8
Halle;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,8;7,7;7,6;7,5;7,5;7,5;7,1;7,1;7,1;7,1;7,1
Ham (t/m 2024);7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;;
Hamme;8,5;8,3;8,3;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Hamont-Achel;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6;6;6;6;6;6;6;6;6;6;6;7
Harelbeke;7,7;7,7;7,7;7,7;7,7;7,7;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Hasselt (vanaf 2025);;;;;;;;;;;;;;;;;;7;7
Hasselt (t/m 2024);7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7;7;7;7;7;;
Hechtel-Eksel;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7,5
Heers;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Heist-op-den-Berg;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Hemiksem;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Herent;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7
Herentals;7,2;7,2;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,2;7,2;7,2;7,2;7,2;7,2;7,2
Herenthout;6,5;6,5;6,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Herk-de-Stad;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Herne (t/m 2024);7,5;7,5;7,5;7,5;7,5;7,5;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;;
Herselt;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,7;7,7;7,7;7,7;7,6;7,4;7,4;7,3;7,3;7,3
Herstappe;3,5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Herzele;7;7;7;7;7;7;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;7,5
Heusden-Zolder;8;8;8;8;8;8;8;8;8;8;8;8;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Heuvelland;9;9;9;9;9;9;9;9;8,7;8,7;8,4;8,4;8;8;8;8;8;8;8
Hoegaarden;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;8
Hoeilaart;6;6;6;6;6;6;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8
Hoeselt (t/m 2024);8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;;
Holsbeek;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Hooglede;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;7,9
Hoogstraten;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5,7
Horebeke;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7,7
Houthalen-Helchteren;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Houthulst;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Hove;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Huldenberg;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Hulshout;7,5;7,5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Ichtegem;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7
Ieper;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Ingelmunster;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8
Izegem;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Jabbeke;7,5;7,5;7,4;7,4;7,4;7,4;7,4;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7
Kalmthout;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Kampenhout;6;6;6;6;6;6;7,5;7,5;7,5;7;7;7;7;7;7;7;7;7;7
Kapellen;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5,5;5,5;5,5;5,5
Kapelle-op-den-Bos;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8
Kaprijke;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Kasterlee;7,8;7,8;7,8;7,8;7,8;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,3;7,3;7,3;7;7;7;7
Keerbergen;5,5;5,5;5,5;5,5;5,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5
Kinrooi;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7
Kluisbergen;7;7;7;7;7;7;7;7,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;7,5
Knesselare (t/m 2018);8;8;8;8;8;8;8;8;8;8;7,5;;;;;;;;
Knokke-Heist;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Koekelare;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Koksijde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
Kontich;5,7;5,7;5;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7
Kortemark;8;7,5;7;7;7;7;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;7,8
Kortenaken;8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8
Kortenberg;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9
Kortessem (t/m 2024);9;9;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;;
Kortrijk;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9
Kraainem;5;5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7
Kruibeke (t/m 2024);8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;;
Kruisem (vanaf 2019);;;;;;;;;;;;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Kruishoutem (t/m 2018);8;8;8;8;8;8;8;8;8;8;7,5;;;;;;;;
Kuurne;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,9;7,9;7,9;7,9;7,9;7,9;7,9
Laakdal;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Laarne;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8
Lanaken;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9
Landen;8;8;8;8;8;8;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9
Langemark-Poelkapelle;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Lebbeke;8;8;8;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Lede;7,5;7,5;7,5;7,5;7,5;7,5;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9
Ledegem;8,3;8,3;8;8;8;8;8;8;8;8;8;8;8;7,5;7,5;7,5;7,5;7,5;7,5
Lendelede;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;7,8
Lennik;7,5;7,5;7,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;7,9
Leopoldsburg;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Leuven;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7
Lichtervelde;7;7;7;7;7;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Liedekerke;6,5;6,5;6,5;6,5;6,5;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8
Lier;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,2
Lierde;6,5;6,5;6,5;6,5;6,5;6,5;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3
Lievegem (vanaf 2019);;;;;;;;;;;;7;7;7;7;7;7;7;7
Lille;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5
Linkebeek;7,2;7,2;7,2;7,2;7,2;7,2;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8
Lint;7,3;7,3;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Linter;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Lochristi (vanaf 2025);;;;;;;;;;;;;;;;;;6,9;6,9
Lochristi (t/m 2024);6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;;
Lokeren (vanaf 2025);;;;;;;;;;;;;;;;;;6,5;6,5
Lokeren (t/m 2024);7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7;7;7;7;7;7;7;6,5;;
Lommel;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
