Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Ninove;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Olen;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6,5
Oostende;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5
Oosterzele;8;8;8;8;8;8;8;8;8;8;8;8;7,8;7,8;7,8;7,8;7,8;7,8;7,8
Oostkamp;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Oostrozebeke;7;7;7;7;7;7;7;7;7;7;7;7;7,5;7,5;7,5;7,5;7,5;7,5;7,9
Opglabbeek (t/m 2018);7;7;7;7;7;7;7,5;7,5;7,5;7,5;6,5;;;;;;;;
Opwijk;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8
Oudenaarde;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Oudenburg;8;8;8;8;8;8;8;8;8;8;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7
Oud-Heverlee;6;6;6;6;6;6;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5
Oudsbergen (vanaf 2019);;;;;;;;;;;;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5
Oud-Turnhout;5;5;5;5;5;5;5;6;6;6;6;6;7;7;7;7;7;7;7
Overijse;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7,3;7,3;7,3;7,3
Overpelt (t/m 2018);6;6;6;6;6;6;6;6;6;6;6;;;;;;;;
Pajottegem (vanaf 2025);;;;;;;;;;;;;;;;;;7,3;7,3
Peer;8;8;9;9;9;9;9;8,5;8,5;8;8;8;8;8;8;8;8;8;8
Pelt (vanaf 2019);;;;;;;;;;;;6;6;6;6;6;6;6;6
Pepingen;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Pittem;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Poperinge;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Putte;7,7;7,7;7,7;7,7;7,7;7,7;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Puurs (t/m 2018);8;8;8;8;8;7,9;7,9;7,8;7,7;7,7;7,5;;;;;;;;
Puurs-Sint-Amands (vanaf 2019);;;;;;;;;;;;7,5;7,5;7,5;7,5;7,4;7,3;7,3;7,3
Ranst;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5
Ravels;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6
Retie;7,8;7,8;7,8;7,5;7,5;7,5;7,5;7,5;7,5;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,8
Riemst;9;9;9;9;9;9;9;8,5;8,5;8;8;8;8;8;8;8;8;8;8
Rijkevorsel;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4
Roeselare;9,5;8,9;8,9;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5
Ronse;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Roosdaal;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Rotselaar;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,8
Ruiselede (t/m 2024);6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;;
Rumst;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5
Schelle;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,5;6,3;6,1;6,1;6;6;6;6;6;6,8
Scherpenheuvel-Zichem;7,5;7,5;7,5;7,5;7,5;7,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8;8;8;8;8
Schilde;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Schoten;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5
Sint-Amands (t/m 2018);8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,3;8,3;7,9;;;;;;;;
Sint-Genesius-Rode;5,7;5,7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
Sint-Gillis-Waas;8;8;8;7,5;6,9;6,9;6,9;6,9;6,9;6,9;6,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9
Sint-Katelijne-Waver;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,4;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,1;7,1;7,1
Sint-Laureins;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Sint-Lievens-Houtem;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9
Sint-Martens-Latem;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5
Sint-Niklaas;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;7,5;7,5;7,5;7,5;7,5
Sint-Pieters-Leeuw;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7
Sint-Truiden;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Spiere-Helkijn;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7;7;7;7;7;7;7;7;7;7
Stabroek;6;6;6;6;6;6;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;7,3
Staden;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Steenokkerzeel;7;7;7;7;7;7;7;7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7
Stekene;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Temse;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Ternat;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9
Tervuren;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7;6,7
Tessenderlo (t/m 2024);6;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;;
Tessenderlo-Ham (vanaf 2025);;;;;;;;;;;;;;;;;;7;7
Tielt (vanaf 2025);;;;;;;;;;;;;;;;;;7,5;7,8
Tielt (t/m 2024);7;7;7;7;7;7;7,3;7,3;7,3;7,3;7,3;7,3;7,5;7,5;7,5;7,5;7,5;;
Tielt-Winge;9;9;9;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;7,9;7,9;7,9;7,9;7,9
Tienen;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,9;7,6;7,6;7,6;7,6;7,6;7,6;8,6
Tongeren (t/m 2024);8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;7,9;7,9;7,9;7,9;7,9;7,9;;
Tongeren-Borgloon (vanaf 2025);;;;;;;;;;;;;;;;;;7,1;7,1
Torhout;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Tremelo;7,5;7,5;7,5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Turnhout;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Veurne;7,8;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7;7;7;7;7;7;7;7;7;7;7
Vilvoorde;8;8;7,7;7,7;7,7;7,7;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2
Vleteren;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7,4
Voeren;6,5;6,5;6,5;6,5;6,5;6,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Vorselaar;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Vosselaar;7;7;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Waarschoot (t/m 2018);7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;;;;;;;;
Waasmunster;8;8;8;8;8;8;8;8;8;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4;7,4
Wachtebeke (t/m 2024);8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;;
Waregem;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8
Wellen;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8
Wemmel;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;7,3;7,3;7,3;7,3;7,3;7
Wervik;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Westerlo;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Wetteren;7;7;7;7;7;7;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Wevelgem;7;7;7;7;7;7;7;7;7;7;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8
Wezembeek-Oppem;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;6,5
Wichelen;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Wielsbeke;6,5;6,5;6,5;6,5;6,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Wijnegem;7;7;7;7;7;7;7;7;7;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5
Willebroek;8,5;8,5;8,5;8,5;8,5;8,3;8,1;8;7,9;7,7;7,5;7,5;7,5;7,5;7,5;7,5;7,4;7,3;7,3
Wingene (vanaf 2025);;;;;;;;;;;;;;;;;;7,8;7,8
Wingene (t/m 2024);7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;;
Wommelgem;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5,5;5;5;5;5;5;5;5;5;5;5;5
Wortegem-Petegem;6,5;6,5;6,5;6,5;6,5;6,5;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,7;8,1
Wuustwezel;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Zandhoven;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Zaventem;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Zedelgem;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Zele;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8
Zelzate;8;8;8;8;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Zemst;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Zingem (t/m 2018);7,9;7,9;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;;;;;;;;
Zoersel;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5;6,5
Zomergem (t/m 2018);8,5;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;;;;;;;;
Zonhoven;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Zonnebeke;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Zottegem;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Zoutleeuw;7,8;7,8;7,8;7,8;7,8;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3
Zuienkerke;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Zulte;7;7;7;7;7;7;7;7;7;7;7;7;5,9;5,9;5,9;5,9;5,9;5,9;5,9
Zutendaal;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Zwalm;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9
Zwevegem;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
Zwijndrecht (t/m 2024);1;1;1;1;1;1;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;;
Aiseau-Presles;;;;;;;;;;;;;;;;;;;8,5
Amay;;;;;;;;;;;;;;;;;;;8,5
Amel;;;;;;;;;;;;;;;;;;;6,0
Andenne;;;;;;;;;;;;;;;;;;;8,6
Anderlecht;;;;;;;;;;;;;;;;;;;7,0
Anderlues;;;;;;;;;;;;;;;;;;;8,8
Anhée;;;;;;;;;;;;;;;;;;;8,5
Ans;;;;;;;;;;;;;;;;;;;8,5
Anthisnes;;;;;;;;;;;;;;;;;;;8,5
Antoing;;;;;;;;;;;;;;;;;;;7,0
Arlon;;;;;;;;;;;;;;;;;;;7,0
Assesse;;;;;;;;;;;;;;;;;;;8,5
Ath;;;;;;;;;;;;;;;;;;;8,8
Attert;;;;;;;;;;;;;;;;;;;7,0
Aubange;;;;;;;;;;;;;;;;;;;8,0
Aubel;;;;;;;;;;;;;;;;;;;7,7
Awans;;;;;;;;;;;;;;;;;;;8,5
Aywaille;;;;;;;;;;;;;;;;;;;8,5
Baelen;;;;;;;;;;;;;;;;;;;7,7
Bassenge;;;;;;;;;;;;;;;;;;;8,0
Bastogne;;;;;;;;;;;;;;;;;;;7,0
Beaumont;;;;;;;;;;;;;;;;;;;8,8
Beauraing;;;;;;;;;;;;;;;;;;;8,0
Beauvechain;;;;;;;;;;;;;;;;;;;7,0
Beloeil;;;;;;;;;;;;;;;;;;;8,5
Berloz;;;;;;;;;;;;;;;;;;;8,5
Bernissart;;;;;;;;;;;;;;;;;;;8,5
Bertrix;;;;;;;;;;;;;;;;;;;8,0
Beyne-Heusay;;;;;;;;;;;;;;;;;;;8,5
Binche;;;;;;;;;;;;;;;;;;;8,0
Bièvre;;;;;;;;;;;;;;;;;;;6,0
Blégny;;;;;;;;;;;;;;;;;;;8,5
Bouillon;;;;;;;;;;;;;;;;;;;8,0
Boussu;;;;;;;;;;;;;;;;;;;8,5
Braine-l'Alleud;;;;;;;;;;;;;;;;;;;5,5
Braine-le-Château;;;;;;;;;;;;;;;;;;;8,0
Braine-le-Comte;;;;;;;;;;;;;;;;;;;8,8
Braives;;;;;;;;;;;;;;;;;;;8,0
Brugelette;;;;;;;;;;;;;;;;;;;8,5
Brunehaut;;;;;;;;;;;;;;;;;;;8,8
Brussel;;;;;;;;;;;;;;;;;;;4,9
Burdinne;;;;;;;;;;;;;;;;;;;8,0
Burg-Reuland;;;;;;;;;;;;;;;;;;;7,0
Büllingen;;;;;;;;;;;;;;;;;;;6,0
Bütgenbach;;;;;;;;;;;;;;;;;;;7,0
Celles;;;;;;;;;;;;;;;;;;;8,2
Cerfontaine;;;;;;;;;;;;;;;;;;;7,5
Chapelle-lez-Herlaimont;;;;;;;;;;;;;;;;;;;8,8
Charleroi;;;;;;;;;;;;;;;;;;;8,5
Chastre;;;;;;;;;;;;;;;;;;;8,0
Chaudfontaine;;;;;;;;;;;;;;;;;;;8,0
Chaumont-Gistoux;;;;;;;;;;;;;;;;;;;8,0
Chimay;;;;;;;;;;;;;;;;;;;8,0
Chiny;;;;;;;;;;;;;;;;;;;8,0
Chièvres;;;;;;;;;;;;;;;;;;;8,8
Châtelet;;;;;;;;;;;;;;;;;;;8,0
Ciney;;;;;;;;;;;;;;;;;;;8,0
Clavier;;;;;;;;;;;;;;;;;;;8,5
Colfontaine;;;;;;;;;;;;;;;;;;;8,5
Comblain-au-Pont;;;;;;;;;;;;;;;;;;;8,8
Comines-Warneton;;;;;;;;;;;;;;;;;;;7,5
Courcelles;;;;;;;;;;;;;;;;;;;8,8
Court-Saint-Etienne;;;;;;;;;;;;;;;;;;;8,0
Couvin;;;;;;;;;;;;;;;;;;;8,5
Crisnée;;;;;;;;;;;;;;;;;;;8,0
Dalhem;;;;;;;;;;;;;;;;;;;7,5
Daverdisse;;;;;;;;;;;;;;;;;;;6,5
Dinant;;;;;;;;;;;;;;;;;;;8,8
Dison;;;;;;;;;;;;;;;;;;;8,2
Doische;;;;;;;;;;;;;;;;;;;8,0
Donceel;;;;;;;;;;;;;;;;;;;8,8
Dour;;;;;;;;;;;;;;;;;;;8,4
Durbuy;;;;;;;;;;;;;;;;;;;8,0
Ecaussinnes;;;;;;;;;;;;;;;;;;;7,6
Eghezée;;;;;;;;;;;;;;;;;;;7,5
Ellezelles;;;;;;;;;;;;;;;;;;;8,0
Elsene;;;;;;;;;;;;;;;;;;;7,5
Enghien;;;;;;;;;;;;;;;;;;;8,2
Engis;;;;;;;;;;;;;;;;;;;8,0
Erezée;;;;;;;;;;;;;;;;;;;8,0
Erquelinnes;;;;;;;;;;;;;;;;;;;8,5
Esneux;;;;;;;;;;;;;;;;;;;8,1
Estaimpuis;;;;;;;;;;;;;;;;;;;8,8
Estinnes;;;;;;;;;;;;;;;;;;;8,5
Etalle;;;;;;;;;;;;;;;;;;;7,0
Etterbeek;;;;;;;;;;;;;;;;;;;5,8
Eupen;;;;;;;;;;;;;;;;;;;8,0
Evere;;;;;;;;;;;;;;;;;;;7,0
Faimes;;;;;;;;;;;;;;;;;;;8,8
Farciennes;;;;;;;;;;;;;;;;;;;8,8
Fauvillers;;;;;;;;;;;;;;;;;;;7,0
Fernelmont;;;;;;;;;;;;;;;;;;;7,5
Ferrières;;;;;;;;;;;;;;;;;;;8,5
Fexhe-le-Haut-Clocher;;;;;;;;;;;;;;;;;;;8,8
Fleurus;;;;;;;;;;;;;;;;;;;8,5
Flobecq;;;;;;;;;;;;;;;;;;;8,0
Floreffe;;;;;;;;;;;;;;;;;;;8,3
Florennes;;;;;;;;;;;;;;;;;;;8,5
Florenville;;;;;;;;;;;;;;;;;;;8,0
Flémalle;;;;;;;;;;;;;;;;;;;8,0
Fléron;;;;;;;;;;;;;;;;;;;8,5
Fontaine-l'Evêque;;;;;;;;;;;;;;;;;;;8,8
Fosses-la-Ville;;;;;;;;;;;;;;;;;;;8,5
Frameries;;;;;;;;;;;;;;;;;;;8,6
Frasnes-lez-Anvaing;;;;;;;;;;;;;;;;;;;7,8
Froidchapelle;;;;;;;;;;;;;;;;;;;8,5
Ganshoren;;;;;;;;;;;;;;;;;;;6,5
Gedinne;;;;;;;;;;;;;;;;;;;6,5
Geer;;;;;;;;;;;;;;;;;;;7,7
Gembloux;;;;;;;;;;;;;;;;;;;7,6
Genappe;;;;;;;;;;;;;;;;;;;8,0
Gerpinnes;;;;;;;;;;;;;;;;;;;8,0
Gesves;;;;;;;;;;;;;;;;;;;8,5
Gouvy;;;;;;;;;;;;;;;;;;;8,0
Grez-Doiceau;;;;;;;;;;;;;;;;;;;6,9
Grâce-Hollogne;;;;;;;;;;;;;;;;;;;8,0
Habay;;;;;;;;;;;;;;;;;;;8,0
Ham-sur-Heure-Nalinnes;;;;;;;;;;;;;;;;;;;8,0
Hamoir;;;;;;;;;;;;;;;;;;;8,8
Hamois;;;;;;;;;;;;;;;;;;;8,0
Hannut;;;;;;;;;;;;;;;;;;;8,5
Hastière;;;;;;;;;;;;;;;;;;;8,2
Havelange;;;;;;;;;;;;;;;;;;;8,8
Hensies;;;;;;;;;;;;;;;;;;;8,5
Herbeumont;;;;;;;;;;;;;;;;;;;7,0
Herstal;;;;;;;;;;;;;;;;;;;8,5
Herve;;;;;;;;;;;;;;;;;;;8,0
Honnelles;;;;;;;;;;;;;;;;;;;8,2
Hotton;;;;;;;;;;;;;;;;;;;8,5
Houffalize;;;;;;;;;;;;;;;;;;;8,0
Houyet;;;;;;;;;;;;;;;;;;;8,0
Huy;;;;;;;;;;;;;;;;;;;8,8
Hélécine;;;;;;;;;;;;;;;;;;;8,8
Héron;;;;;;;;;;;;;;;;;;;8,2
Incourt;;;;;;;;;;;;;;;;;;;8,0
Ittre;;;;;;;;;;;;;;;;;;;7,9
Jalhay;;;;;;;;;;;;;;;;;;;6,8
Jemeppe-sur-Sambre;;;;;;;;;;;;;;;;;;;6,0
Jette;;;;;;;;;;;;;;;;;;;7,4
Jodoigne;;;;;;;;;;;;;;;;;;;8,8
Juprelle;;;;;;;;;;;;;;;;;;;7,5
Jurbise;;;;;;;;;;;;;;;;;;;8,5
Kelmis;;;;;;;;;;;;;;;;;;;7,5
Koekelberg;;;;;;;;;;;;;;;;;;;7,0
La Bruyère;;;;;;;;;;;;;;;;;;;8,0
La Hulpe;;;;;;;;;;;;;;;;;;;6,6
La Louvière;;;;;;;;;;;;;;;;;;;8,8
La Roche-en-Ardenne;;;;;;;;;;;;;;;;;;;8,0
Lasne;;;;;;;;;;;;;;;;;;;5,8
Le Roeulx;;;;;;;;;;;;;;;;;;;8,5
Lens;;;;;;;;;;;;;;;;;;;8,0
Les-Bons-Villers;;;;;;;;;;;;;;;;;;;8,0
Lessines;;;;;;;;;;;;;;;;;;;8,8
Leuze-en-Hainaut;;;;;;;;;;;;;;;;;;;8,8
Libin;;;;;;;;;;;;;;;;;;;7,3
Libramont-Chevigny;;;;;;;;;;;;;;;;;;;7,5
Lierneux;;;;;;;;;;;;;;;;;;;7,5
Limbourg;;;;;;;;;;;;;;;;;;;8,8
Lincent;;;;;;;;;;;;;;;;;;;8,8
Liège;;;;;;;;;;;;;;;;;;;8,0
Lobbes;;;;;;;;;;;;;;;;;;;8,5
Lontzen;;;;;;;;;;;;;;;;;;;6,8
Léglise;;;;;;;;;;;;;;;;;;;8,0
Malmedy;;;;;;;;;;;;;;;;;;;7,0
Manage;;;;;;;;;;;;;;;;;;;8,0
Manhay;;;;;;;;;;;;;;;;;;;6,5
Marche-en-Famenne;;;;;;;;;;;;;;;;;;;8,0
Marchin;;;;;;;;;;;;;;;;;;;8,8
Martelange;;;;;;;;;;;;;;;;;;;7,0
Meix-devant-Virton;;;;;;;;;;;;;;;;;;;8,0
Merbes-le-Château;;;;;;;;;;;;;;;;;;;8,1
Messancy;;;;;;;;;;;;;;;;;;;7,0
Mettet;;;;;;;;;;;;;;;;;;;8,0
Modave;;;;;;;;;;;;;;;;;;;8,0
Momignies;;;;;;;;;;;;;;;;;;;8,5
Mons;;;;;;;;;;;;;;;;;;;8,0
Mont-Saint-Guibert;;;;;;;;;;;;;;;;;;;7,5
Mont-de-l'Enclus;;;;;;;;;;;;;;;;;;;8,0
Montigny-le-Tilleul;;;;;;;;;;;;;;;;;;;8,0
Morlanwelz;;;;;;;;;;;;;;;;;;;8,8
Mouscron;;;;;;;;;;;;;;;;;;;8,8
Musson;;;;;;;;;;;;;;;;;;;7,5
Namur;;;;;;;;;;;;;;;;;;;8,5
Nandrin;;;;;;;;;;;;;;;;;;;8,5
Nassogne;;;;;;;;;;;;;;;;;;;8,0
Neufchâteau;;;;;;;;;;;;;;;;;;;7,3
Neupré;;;;;;;;;;;;;;;;;;;8,0
Nivelles;;;;;;;;;;;;;;;;;;;7,0
Ohey;;;;;;;;;;;;;;;;;;;8,3
Olne;;;;;;;;;;;;;;;;;;;7,2
Onhaye;;;;;;;;;;;;;;;;;;;8,0
Oreye;;;;;;;;;;;;;;;;;;;6,9
Orp-Jauche;;;;;;;;;;;;;;;;;;;8,0
Ottignies-Louvain-la-Neuve;;;;;;;;;;;;;;;;;;;7,7
Oudergem;;;;;;;;;;;;;;;;;;;6,0
Ouffet;;;;;;;;;;;;;;;;;;;8,0
Oupeye;;;;;;;;;;;;;;;;;;;8,0
Paliseul;;;;;;;;;;;;;;;;;;;8,0
Pecq;;;;;;;;;;;;;;;;;;;8,8
Pepinster;;;;;;;;;;;;;;;;;;;8,5
Perwez;;;;;;;;;;;;;;;;;;;7,5
Philippeville;;;;;;;;;;;;;;;;;;;8,0
Plombières;;;;;;;;;;;;;;;;;;;7,3
Pont-à-Celles;;;;;;;;;;;;;;;;;;;8,0
Profondeville;;;;;;;;;;;;;;;;;;;8,0
Péruwelz;;;;;;;;;;;;;;;;;;;8,5
Quaregnon;;;;;;;;;;;;;;;;;;;8,5
Quiévrain;;;;;;;;;;;;;;;;;;;8,8
Quévy;;;;;;;;;;;;;;;;;;;8,5
Raeren;;;;;;;;;;;;;;;;;;;7,5
Ramillies;;;;;;;;;;;;;;;;;;;8,3
Rebecq;;;;;;;;;;;;;;;;;;;8,5
Remicourt;;;;;;;;;;;;;;;;;;;8,0
Rendeux;;;;;;;;;;;;;;;;;;;7,7
Rixensart;;;;;;;;;;;;;;;;;;;6,6
Rochefort;;;;;;;;;;;;;;;;;;;8,5
Rouvroy;;;;;;;;;;;;;;;;;;;6,0
Rumes;;;;;;;;;;;;;;;;;;;8,5
Saint-Georges-sur-Meuse;;;;;;;;;;;;;;;;;;;8,0
Saint-Ghislain;;;;;;;;;;;;;;;;;;;7,9
Saint-Hubert;;;;;;;;;;;;;;;;;;;8,0
Saint-Léger;;;;;;;;;;;;;;;;;;;8,0
Saint-Nicolas;;;;;;;;;;;;;;;;;;;8,5
Sainte-Ode;;;;;;;;;;;;;;;;;;;8,0
Sambreville;;;;;;;;;;;;;;;;;;;8,0
Sankt Vith;;;;;;;;;;;;;;;;;;;6,0
Schaarbeek;;;;;;;;;;;;;;;;;;;5,0
Seneffe;;;;;;;;;;;;;;;;;;;8,0
